accountId,type,amount,daysAgo,description,reference
ACC-CA-001,CREDIT,2145.00,28,Monthly salary - Atelier Demo,salary-1-5
ACC-CA-001,DEBIT,728.00,25,Monthly rent,rent-1-5
ACC-CA-001,DEBIT,90.40,20,Electricity and internet,bills-1-5
ACC-CA-001,DEBIT,162.65,12,Groceries - Marche Demo,groceries-1-5
ACC-CA-001,DEBIT,12.99,7,Music subscription,music-1-5
ACC-CA-001,DEBIT,205.00,1,Savings transfer to SA_001,demo-savings-001-5
SA_001,CREDIT,205.00,1,Savings transfer from ACC-CA-001,demo-savings-001-5
ACC-CA-002,CREDIT,1370.00,181,Opening deposit,opening-ACC-CA-002
SA_002,CREDIT,2840.00,181,Opening savings deposit,opening-SA_002
ACC-CA-002,CREDIT,2190.00,178,Monthly salary - Atelier Demo,salary-2-0
ACC-CA-002,DEBIT,736.00,175,Monthly rent,rent-2-0
ACC-CA-002,DEBIT,91.40,170,Electricity and internet,bills-2-0
ACC-CA-002,DEBIT,149.65,162,Groceries - Marche Demo,groceries-2-0
ACC-CA-002,DEBIT,12.99,157,Music subscription,music-2-0
ACC-CA-002,DEBIT,210.00,151,Savings transfer to SA_002,demo-savings-002-0
SA_002,CREDIT,210.00,151,Savings transfer from ACC-CA-002,demo-savings-002-0
ACC-CA-002,CREDIT,2190.00,148,Monthly salary - Atelier Demo,salary-2-1
ACC-CA-002,DEBIT,736.00,145,Monthly rent,rent-2-1
ACC-CA-002,DEBIT,91.40,140,Electricity and internet,bills-2-1
ACC-CA-002,DEBIT,152.65,132,Groceries - Marche Demo,groceries-2-1
ACC-CA-002,DEBIT,12.99,127,Music subscription,music-2-1
ACC-CA-002,DEBIT,210.00,121,Savings transfer to SA_002,demo-savings-002-1
SA_002,CREDIT,210.00,121,Savings transfer from ACC-CA-002,demo-savings-002-1
ACC-CA-002,CREDIT,2190.00,118,Monthly salary - Atelier Demo,salary-2-2
ACC-CA-002,DEBIT,736.00,115,Monthly rent,rent-2-2
ACC-CA-002,DEBIT,91.40,110,Electricity and internet,bills-2-2
ACC-CA-002,DEBIT,155.65,102,Groceries - Marche Demo,groceries-2-2
ACC-CA-002,DEBIT,12.99,97,Music subscription,music-2-2
ACC-CA-002,DEBIT,210.00,91,Savings transfer to SA_002,demo-savings-002-2
SA_002,CREDIT,210.00,91,Savings transfer from ACC-CA-002,demo-savings-002-2
ACC-CA-002,CREDIT,2190.00,88,Monthly salary - Atelier Demo,salary-2-3
ACC-CA-002,DEBIT,736.00,85,Monthly rent,rent-2-3
ACC-CA-002,DEBIT,91.40,80,Electricity and internet,bills-2-3
ACC-CA-002,DEBIT,158.65,72,Groceries - Marche Demo,groceries-2-3
ACC-CA-002,DEBIT,12.99,67,Music subscription,music-2-3
ACC-CA-002,DEBIT,210.00,61,Savings transfer to SA_002,demo-savings-002-3
SA_002,CREDIT,210.00,61,Savings transfer from ACC-CA-002,demo-savings-002-3
ACC-CA-002,CREDIT,2190.00,58,Monthly salary - Atelier Demo,salary-2-4
ACC-CA-002,DEBIT,736.00,55,Monthly rent,rent-2-4
ACC-CA-002,DEBIT,91.40,50,Electricity and internet,bills-2-4
ACC-CA-002,DEBIT,161.65,42,Groceries - Marche Demo,groceries-2-4
ACC-CA-002,DEBIT,12.99,37,Music subscription,music-2-4
ACC-CA-002,DEBIT,210.00,31,Savings transfer to SA_002,demo-savings-002-4
SA_002,CREDIT,210.00,31,Savings transfer from ACC-CA-002,demo-savings-002-4
ACC-CA-002,CREDIT,2190.00,28,Monthly salary - Atelier Demo,salary-2-5
ACC-CA-002,DEBIT,736.00,25,Monthly rent,rent-2-5
ACC-CA-002,DEBIT,91.40,20,Electricity and internet,bills-2-5
ACC-CA-002,DEBIT,164.65,12,Groceries - Marche Demo,groceries-2-5
ACC-CA-002,DEBIT,12.99,7,Music subscription,music-2-5
ACC-CA-002,DEBIT,210.00,1,Savings transfer to SA_002,demo-savings-002-5
SA_002,CREDIT,210.00,1,Savings transfer from ACC-CA-002,demo-savings-002-5
ACC-CA-003,CREDIT,1455.00,181,Opening deposit,opening-ACC-CA-003
SA_003,CREDIT,3010.00,181,Opening savings deposit,opening-SA_003
ACC-CA-003,CREDIT,2235.00,178,Monthly salary - Atelier Demo,salary-3-0
ACC-CA-003,DEBIT,744.00,175,Monthly rent,rent-3-0
ACC-CA-003,DEBIT,92.40,170,Electricity and internet,bills-3-0
ACC-CA-003,DEBIT,151.65,162,Groceries - Marche Demo,groceries-3-0
ACC-CA-003,DEBIT,12.99,157,Music subscription,music-3-0
ACC-CA-003,DEBIT,215.00,151,Savings transfer to SA_003,demo-savings-003-0
SA_003,CREDIT,215.00,151,Savings transfer from ACC-CA-003,demo-savings-003-0
ACC-CA-003,CREDIT,2235.00,148,Monthly salary - Atelier Demo,salary-3-1
ACC-CA-003,DEBIT,744.00,145,Monthly rent,rent-3-1
ACC-CA-003,DEBIT,92.40,140,Electricity and internet,bills-3-1
ACC-CA-003,DEBIT,154.65,132,Groceries - Marche Demo,groceries-3-1
ACC-CA-003,DEBIT,12.99,127,Music subscription,music-3-1
ACC-CA-003,DEBIT,215.00,121,Savings transfer to SA_003,demo-savings-003-1
SA_003,CREDIT,215.00,121,Savings transfer from ACC-CA-003,demo-savings-003-1
ACC-CA-003,CREDIT,2235.00,118,Monthly salary - Atelier Demo,salary-3-2
ACC-CA-003,DEBIT,744.00,115,Monthly rent,rent-3-2
ACC-CA-003,DEBIT,92.40,110,Electricity and internet,bills-3-2
ACC-CA-003,DEBIT,157.65,102,Groceries - Marche Demo,groceries-3-2
ACC-CA-003,DEBIT,12.99,97,Music subscription,music-3-2
ACC-CA-003,DEBIT,215.00,91,Savings transfer to SA_003,demo-savings-003-2
SA_003,CREDIT,215.00,91,Savings transfer from ACC-CA-003,demo-savings-003-2
ACC-CA-003,CREDIT,2235.00,88,Monthly salary - Atelier Demo,salary-3-3
ACC-CA-003,DEBIT,744.00,85,Monthly rent,rent-3-3
ACC-CA-003,DEBIT,92.40,80,Electricity and internet,bills-3-3
ACC-CA-003,DEBIT,160.65,72,Groceries - Marche Demo,groceries-3-3
ACC-CA-003,DEBIT,12.99,67,Music subscription,music-3-3
ACC-CA-003,DEBIT,215.00,61,Savings transfer to SA_003,demo-savings-003-3
SA_003,CREDIT,215.00,61,Savings transfer from ACC-CA-003,demo-savings-003-3
ACC-CA-003,CREDIT,2235.00,58,Monthly salary - Atelier Demo,salary-3-4
ACC-CA-003,DEBIT,744.00,55,Monthly rent,rent-3-4
ACC-CA-003,DEBIT,92.40,50,Electricity and internet,bills-3-4
ACC-CA-003,DEBIT,163.65,42,Groceries - Marche Demo,groceries-3-4
ACC-CA-003,DEBIT,12.99,37,Music subscription,music-3-4
ACC-CA-003,DEBIT,215.00,31,Savings transfer to SA_003,demo-savings-003-4
SA_003,CREDIT,215.00,31,Savings transfer from ACC-CA-003,demo-savings-003-4
ACC-CA-003,CREDIT,2235.00,28,Monthly salary - Atelier Demo,salary-3-5
ACC-CA-003,DEBIT,744.00,25,Monthly rent,rent-3-5
ACC-CA-003,DEBIT,92.40,20,Electricity and internet,bills-3-5
ACC-CA-003,DEBIT,166.65,12,Groceries - Marche Demo,groceries-3-5
ACC-CA-003,DEBIT,12.99,7,Music subscription,music-3-5
ACC-CA-003,DEBIT,215.00,1,Savings transfer to SA_003,demo-savings-003-5
SA_003,CREDIT,215.00,1,Savings transfer from ACC-CA-003,demo-savings-003-5
ACC-CA-004,CREDIT,1540.00,181,Opening deposit,opening-ACC-CA-004
SA_004,CREDIT,3180.00,181,Opening savings deposit,opening-SA_004
ACC-CA-004,CREDIT,2280.00,178,Monthly salary - Atelier Demo,salary-4-0
ACC-CA-004,DEBIT,752.00,175,Monthly rent,rent-4-0
ACC-CA-004,DEBIT,93.40,170,Electricity and internet,bills-4-0
ACC-CA-004,DEBIT,153.65,162,Groceries - Marche Demo,groceries-4-0
ACC-CA-004,DEBIT,12.99,157,Music subscription,music-4-0
ACC-CA-004,DEBIT,220.00,151,Savings transfer to SA_004,demo-savings-004-0
SA_004,CREDIT,220.00,151,Savings transfer from ACC-CA-004,demo-savings-004-0
ACC-CA-004,CREDIT,2280.00,148,Monthly salary - Atelier Demo,salary-4-1
ACC-CA-004,DEBIT,752.00,145,Monthly rent,rent-4-1
ACC-CA-004,DEBIT,93.40,140,Electricity and internet,bills-4-1
ACC-CA-004,DEBIT,156.65,132,Groceries - Marche Demo,groceries-4-1
ACC-CA-004,DEBIT,12.99,127,Music subscription,music-4-1
ACC-CA-004,DEBIT,220.00,121,Savings transfer to SA_004,demo-savings-004-1
SA_004,CREDIT,220.00,121,Savings transfer from ACC-CA-004,demo-savings-004-1
ACC-CA-004,CREDIT,2280.00,118,Monthly salary - Atelier Demo,salary-4-2
ACC-CA-004,DEBIT,752.00,115,Monthly rent,rent-4-2
ACC-CA-004,DEBIT,93.40,110,Electricity and internet,bills-4-2
ACC-CA-004,DEBIT,159.65,102,Groceries - Marche Demo,groceries-4-2
ACC-CA-004,DEBIT,12.99,97,Music subscription,music-4-2
ACC-CA-004,DEBIT,220.00,91,Savings transfer to SA_004,demo-savings-004-2
SA_004,CREDIT,220.00,91,Savings transfer from ACC-CA-004,demo-savings-004-2
ACC-CA-004,CREDIT,2280.00,88,Monthly salary - Atelier Demo,salary-4-3
ACC-CA-004,DEBIT,752.00,85,Monthly rent,rent-4-3
ACC-CA-004,DEBIT,93.40,80,Electricity and internet,bills-4-3
ACC-CA-004,DEBIT,162.65,72,Groceries - Marche Demo,groceries-4-3
ACC-CA-004,DEBIT,12.99,67,Music subscription,music-4-3
ACC-CA-004,DEBIT,220.00,61,Savings transfer to SA_004,demo-savings-004-3
SA_004,CREDIT,220.00,61,Savings transfer from ACC-CA-004,demo-savings-004-3
ACC-CA-004,CREDIT,2280.00,58,Monthly salary - Atelier Demo,salary-4-4
ACC-CA-004,DEBIT,752.00,55,Monthly rent,rent-4-4
ACC-CA-004,DEBIT,93.40,50,Electricity and internet,bills-4-4
ACC-CA-004,DEBIT,165.65,42,Groceries - Marche Demo,groceries-4-4
ACC-CA-004,DEBIT,12.99,37,Music subscription,music-4-4
ACC-CA-004,DEBIT,220.00,31,Savings transfer to SA_004,demo-savings-004-4
SA_004,CREDIT,220.00,31,Savings transfer from ACC-CA-004,demo-savings-004-4
ACC-CA-004,CREDIT,2280.00,28,Monthly salary - Atelier Demo,salary-4-5
ACC-CA-004,DEBIT,752.00,25,Monthly rent,rent-4-5
ACC-CA-004,DEBIT,93.40,20,Electricity and internet,bills-4-5
ACC-CA-004,DEBIT,168.65,12,Groceries - Marche Demo,groceries-4-5
ACC-CA-004,DEBIT,12.99,7,Music subscription,music-4-5
ACC-CA-004,DEBIT,220.00,1,Savings transfer to SA_004,demo-savings-004-5
SA_004,CREDIT,220.00,1,Savings transfer from ACC-CA-004,demo-savings-004-5
ACC-CA-005,CREDIT,1625.00,181,Opening deposit,opening-ACC-CA-005
SA_005,CREDIT,3350.00,181,Opening savings deposit,opening-SA_005
ACC-CA-005,CREDIT,2325.00,178,Monthly salary - Atelier Demo,salary-5-0
ACC-CA-005,DEBIT,760.00,175,Monthly rent,rent-5-0
ACC-CA-005,DEBIT,94.40,170,Electricity and internet,bills-5-0
ACC-CA-005,DEBIT,155.65,162,Groceries - Marche Demo,groceries-5-0
ACC-CA-005,DEBIT,12.99,157,Music subscription,music-5-0
ACC-CA-005,DEBIT,225.00,151,Savings transfer to SA_005,demo-savings-005-0
SA_005,CREDIT,225.00,151,Savings transfer from ACC-CA-005,demo-savings-005-0
ACC-CA-005,CREDIT,2325.00,148,Monthly salary - Atelier Demo,salary-5-1
ACC-CA-005,DEBIT,760.00,145,Monthly rent,rent-5-1
ACC-CA-005,DEBIT,94.40,140,Electricity and internet,bills-5-1
ACC-CA-005,DEBIT,158.65,132,Groceries - Marche Demo,groceries-5-1
ACC-CA-005,DEBIT,12.99,127,Music subscription,music-5-1
ACC-CA-005,DEBIT,225.00,121,Savings transfer to SA_005,demo-savings-005-1
SA_005,CREDIT,225.00,121,Savings transfer from ACC-CA-005,demo-savings-005-1
ACC-CA-005,CREDIT,2325.00,118,Monthly salary - Atelier Demo,salary-5-2
ACC-CA-005,DEBIT,760.00,115,Monthly rent,rent-5-2
ACC-CA-005,DEBIT,94.40,110,Electricity and internet,bills-5-2
ACC-CA-005,DEBIT,161.65,102,Groceries - Marche Demo,groceries-5-2
ACC-CA-005,DEBIT,12.99,97,Music subscription,music-5-2
ACC-CA-005,DEBIT,225.00,91,Savings transfer to SA_005,demo-savings-005-2
SA_005,CREDIT,225.00,91,Savings transfer from ACC-CA-005,demo-savings-005-2
ACC-CA-005,CREDIT,2325.00,88,Monthly salary - Atelier Demo,salary-5-3
ACC-CA-005,DEBIT,760.00,85,Monthly rent,rent-5-3
ACC-CA-005,DEBIT,94.40,80,Electricity and internet,bills-5-3
ACC-CA-005,DEBIT,164.65,72,Groceries - Marche Demo,groceries-5-3
ACC-CA-005,DEBIT,12.99,67,Music subscription,music-5-3
ACC-CA-005,DEBIT,225.00,61,Savings transfer to SA_005,demo-savings-005-3
SA_005,CREDIT,225.00,61,Savings transfer from ACC-CA-005,demo-savings-005-3
ACC-CA-005,CREDIT,2325.00,58,Monthly salary - Atelier Demo,salary-5-4
ACC-CA-005,DEBIT,760.00,55,Monthly rent,rent-5-4
ACC-CA-005,DEBIT,94.40,50,Electricity and internet,bills-5-4
ACC-CA-005,DEBIT,167.65,42,Groceries - Marche Demo,groceries-5-4
ACC-CA-005,DEBIT,12.99,37,Music subscription,music-5-4
ACC-CA-005,DEBIT,225.00,31,Savings transfer to SA_005,demo-savings-005-4
SA_005,CREDIT,225.00,31,Savings transfer from ACC-CA-005,demo-savings-005-4
ACC-CA-005,CREDIT,2325.00,28,Monthly salary - Atelier Demo,salary-5-5
ACC-CA-005,DEBIT,760.00,25,Monthly rent,rent-5-5
ACC-CA-005,DEBIT,94.40,20,Electricity and internet,bills-5-5
ACC-CA-005,DEBIT,170.65,12,Groceries - Marche Demo,groceries-5-5
ACC-CA-005,DEBIT,12.99,7,Music subscription,music-5-5
ACC-CA-005,DEBIT,225.00,1,Savings transfer to SA_005,demo-savings-005-5
SA_005,CREDIT,225.00,1,Savings transfer from ACC-CA-005,demo-savings-005-5
ACC-CA-006,CREDIT,1710.00,181,Opening deposit,opening-ACC-CA-006
SA_006,CREDIT,3520.00,181,Opening savings deposit,opening-SA_006
ACC-CA-006,CREDIT,2370.00,178,Monthly salary - Atelier Demo,salary-6-0
ACC-CA-006,DEBIT,768.00,175,Monthly rent,rent-6-0
ACC-CA-006,DEBIT,95.40,170,Electricity and internet,bills-6-0
ACC-CA-006,DEBIT,157.65,162,Groceries - Marche Demo,groceries-6-0
ACC-CA-006,DEBIT,12.99,157,Music subscription,music-6-0
ACC-CA-006,DEBIT,230.00,151,Savings transfer to SA_006,demo-savings-006-0
SA_006,CREDIT,230.00,151,Savings transfer from ACC-CA-006,demo-savings-006-0
ACC-CA-006,CREDIT,2370.00,148,Monthly salary - Atelier Demo,salary-6-1
ACC-CA-006,DEBIT,768.00,145,Monthly rent,rent-6-1
ACC-CA-006,DEBIT,95.40,140,Electricity and internet,bills-6-1
ACC-CA-006,DEBIT,160.65,132,Groceries - Marche Demo,groceries-6-1
ACC-CA-006,DEBIT,12.99,127,Music subscription,music-6-1
ACC-CA-006,DEBIT,230.00,121,Savings transfer to SA_006,demo-savings-006-1
SA_006,CREDIT,230.00,121,Savings transfer from ACC-CA-006,demo-savings-006-1
ACC-CA-006,CREDIT,2370.00,118,Monthly salary - Atelier Demo,salary-6-2
ACC-CA-006,DEBIT,768.00,115,Monthly rent,rent-6-2
ACC-CA-006,DEBIT,95.40,110,Electricity and internet,bills-6-2
ACC-CA-006,DEBIT,163.65,102,Groceries - Marche Demo,groceries-6-2
ACC-CA-006,DEBIT,12.99,97,Music subscription,music-6-2
ACC-CA-006,DEBIT,230.00,91,Savings transfer to SA_006,demo-savings-006-2
SA_006,CREDIT,230.00,91,Savings transfer from ACC-CA-006,demo-savings-006-2
ACC-CA-006,CREDIT,2370.00,88,Monthly salary - Atelier Demo,salary-6-3
ACC-CA-006,DEBIT,768.00,85,Monthly rent,rent-6-3
ACC-CA-006,DEBIT,95.40,80,Electricity and internet,bills-6-3
ACC-CA-006,DEBIT,166.65,72,Groceries - Marche Demo,groceries-6-3
ACC-CA-006,DEBIT,12.99,67,Music subscription,music-6-3
ACC-CA-006,DEBIT,230.00,61,Savings transfer to SA_006,demo-savings-006-3
SA_006,CREDIT,230.00,61,Savings transfer from ACC-CA-006,demo-savings-006-3
ACC-CA-006,CREDIT,2370.00,58,Monthly salary - Atelier Demo,salary-6-4
ACC-CA-006,DEBIT,768.00,55,Monthly rent,rent-6-4
ACC-CA-006,DEBIT,95.40,50,Electricity and internet,bills-6-4
ACC-CA-006,DEBIT,169.65,42,Groceries - Marche Demo,groceries-6-4
ACC-CA-006,DEBIT,12.99,37,Music subscription,music-6-4
ACC-CA-006,DEBIT,230.00,31,Savings transfer to SA_006,demo-savings-006-4
SA_006,CREDIT,230.00,31,Savings transfer from ACC-CA-006,demo-savings-006-4
ACC-CA-006,CREDIT,2370.00,28,Monthly salary - Atelier Demo,salary-6-5
ACC-CA-006,DEBIT,768.00,25,Monthly rent,rent-6-5
ACC-CA-006,DEBIT,95.40,20,Electricity and internet,bills-6-5
ACC-CA-006,DEBIT,172.65,12,Groceries - Marche Demo,groceries-6-5
ACC-CA-006,DEBIT,12.99,7,Music subscription,music-6-5
ACC-CA-006,DEBIT,230.00,1,Savings transfer to SA_006,demo-savings-006-5
SA_006,CREDIT,230.00,1,Savings transfer from ACC-CA-006,demo-savings-006-5
ACC-CA-007,CREDIT,1795.00,181,Opening deposit,opening-ACC-CA-007
SA_007,CREDIT,3690.00,181,Opening savings deposit,opening-SA_007
ACC-CA-007,CREDIT,2415.00,178,Monthly salary - Atelier Demo,salary-7-0
ACC-CA-007,DEBIT,776.00,175,Monthly rent,rent-7-0
ACC-CA-007,DEBIT,96.40,170,Electricity and internet,bills-7-0
ACC-CA-007,DEBIT,159.65,162,Groceries - Marche Demo,groceries-7-0
ACC-CA-007,DEBIT,12.99,157,Music subscription,music-7-0
ACC-CA-007,DEBIT,235.00,151,Savings transfer to SA_007,demo-savings-007-0
SA_007,CREDIT,235.00,151,Savings transfer from ACC-CA-007,demo-savings-007-0
ACC-CA-007,CREDIT,2415.00,148,Monthly salary - Atelier Demo,salary-7-1
ACC-CA-007,DEBIT,776.00,145,Monthly rent,rent-7-1
ACC-CA-007,DEBIT,96.40,140,Electricity and internet,bills-7-1
ACC-CA-007,DEBIT,162.65,132,Groceries - Marche Demo,groceries-7-1
ACC-CA-007,DEBIT,12.99,127,Music subscription,music-7-1
ACC-CA-007,DEBIT,235.00,121,Savings transfer to SA_007,demo-savings-007-1
SA_007,CREDIT,235.00,121,Savings transfer from ACC-CA-007,demo-savings-007-1
ACC-CA-007,CREDIT,2415.00,118,Monthly salary - Atelier Demo,salary-7-2
ACC-CA-007,DEBIT,776.00,115,Monthly rent,rent-7-2
ACC-CA-007,DEBIT,96.40,110,Electricity and internet,bills-7-2
ACC-CA-007,DEBIT,165.65,102,Groceries - Marche Demo,groceries-7-2
ACC-CA-007,DEBIT,12.99,97,Music subscription,music-7-2
ACC-CA-007,DEBIT,235.00,91,Savings transfer to SA_007,demo-savings-007-2
SA_007,CREDIT,235.00,91,Savings transfer from ACC-CA-007,demo-savings-007-2
ACC-CA-007,CREDIT,2415.00,88,Monthly salary - Atelier Demo,salary-7-3
ACC-CA-007,DEBIT,776.00,85,Monthly rent,rent-7-3
ACC-CA-007,DEBIT,96.40,80,Electricity and internet,bills-7-3
ACC-CA-007,DEBIT,168.65,72,Groceries - Marche Demo,groceries-7-3
ACC-CA-007,DEBIT,12.99,67,Music subscription,music-7-3
ACC-CA-007,DEBIT,235.00,61,Savings transfer to SA_007,demo-savings-007-3
SA_007,CREDIT,235.00,61,Savings transfer from ACC-CA-007,demo-savings-007-3
ACC-CA-007,CREDIT,2415.00,58,Monthly salary - Atelier Demo,salary-7-4
ACC-CA-007,DEBIT,776.00,55,Monthly rent,rent-7-4
ACC-CA-007,DEBIT,96.40,50,Electricity and internet,bills-7-4
ACC-CA-007,DEBIT,171.65,42,Groceries - Marche Demo,groceries-7-4
ACC-CA-007,DEBIT,12.99,37,Music subscription,music-7-4
ACC-CA-007,DEBIT,235.00,31,Savings transfer to SA_007,demo-savings-007-4
SA_007,CREDIT,235.00,31,Savings transfer from ACC-CA-007,demo-savings-007-4
ACC-CA-007,CREDIT,2415.00,28,Monthly salary - Atelier Demo,salary-7-5
ACC-CA-007,DEBIT,776.00,25,Monthly rent,rent-7-5
ACC-CA-007,DEBIT,96.40,20,Electricity and internet,bills-7-5
ACC-CA-007,DEBIT,174.65,12,Groceries - Marche Demo,groceries-7-5
ACC-CA-007,DEBIT,12.99,7,Music subscription,music-7-5
ACC-CA-007,DEBIT,235.00,1,Savings transfer to SA_007,demo-savings-007-5
SA_007,CREDIT,235.00,1,Savings transfer from ACC-CA-007,demo-savings-007-5
ACC-CA-008,CREDIT,1880.00,181,Opening deposit,opening-ACC-CA-008
SA_008,CREDIT,3860.00,181,Opening savings deposit,opening-SA_008
ACC-CA-008,CREDIT,2460.00,178,Monthly salary - Atelier Demo,salary-8-0
ACC-CA-008,DEBIT,784.00,175,Monthly rent,rent-8-0
ACC-CA-008,DEBIT,97.40,170,Electricity and internet,bills-8-0
ACC-CA-008,DEBIT,161.65,162,Groceries - Marche Demo,groceries-8-0
ACC-CA-008,DEBIT,12.99,157,Music subscription,music-8-0
ACC-CA-008,DEBIT,240.00,151,Savings transfer to SA_008,demo-savings-008-0
SA_008,CREDIT,240.00,151,Savings transfer from ACC-CA-008,demo-savings-008-0
ACC-CA-008,CREDIT,2460.00,148,Monthly salary - Atelier Demo,salary-8-1
ACC-CA-008,DEBIT,784.00,145,Monthly rent,rent-8-1
ACC-CA-008,DEBIT,97.40,140,Electricity and internet,bills-8-1
ACC-CA-008,DEBIT,164.65,132,Groceries - Marche Demo,groceries-8-1
ACC-CA-008,DEBIT,12.99,127,Music subscription,music-8-1
ACC-CA-008,DEBIT,240.00,121,Savings transfer to SA_008,demo-savings-008-1
SA_008,CREDIT,240.00,121,Savings transfer from ACC-CA-008,demo-savings-008-1
ACC-CA-008,CREDIT,2460.00,118,Monthly salary - Atelier Demo,salary-8-2
ACC-CA-008,DEBIT,784.00,115,Monthly rent,rent-8-2
ACC-CA-008,DEBIT,97.40,110,Electricity and internet,bills-8-2
ACC-CA-008,DEBIT,167.65,102,Groceries - Marche Demo,groceries-8-2
ACC-CA-008,DEBIT,12.99,97,Music subscription,music-8-2
ACC-CA-008,DEBIT,240.00,91,Savings transfer to SA_008,demo-savings-008-2
SA_008,CREDIT,240.00,91,Savings transfer from ACC-CA-008,demo-savings-008-2
ACC-CA-008,CREDIT,2460.00,88,Monthly salary - Atelier Demo,salary-8-3
ACC-CA-008,DEBIT,784.00,85,Monthly rent,rent-8-3
ACC-CA-008,DEBIT,97.40,80,Electricity and internet,bills-8-3
ACC-CA-008,DEBIT,170.65,72,Groceries - Marche Demo,groceries-8-3
ACC-CA-008,DEBIT,12.99,67,Music subscription,music-8-3
ACC-CA-008,DEBIT,240.00,61,Savings transfer to SA_008,demo-savings-008-3
SA_008,CREDIT,240.00,61,Savings transfer from ACC-CA-008,demo-savings-008-3
ACC-CA-008,CREDIT,2460.00,58,Monthly salary - Atelier Demo,salary-8-4
ACC-CA-008,DEBIT,784.00,55,Monthly rent,rent-8-4
ACC-CA-008,DEBIT,97.40,50,Electricity and internet,bills-8-4
ACC-CA-008,DEBIT,173.65,42,Groceries - Marche Demo,groceries-8-4
ACC-CA-008,DEBIT,12.99,37,Music subscription,music-8-4
ACC-CA-008,DEBIT,240.00,31,Savings transfer to SA_008,demo-savings-008-4
SA_008,CREDIT,240.00,31,Savings transfer from ACC-CA-008,demo-savings-008-4
ACC-CA-008,CREDIT,2460.00,28,Monthly salary - Atelier Demo,salary-8-5
ACC-CA-008,DEBIT,784.00,25,Monthly rent,rent-8-5
ACC-CA-008,DEBIT,97.40,20,Electricity and internet,bills-8-5
ACC-CA-008,DEBIT,176.65,12,Groceries - Marche Demo,groceries-8-5
ACC-CA-008,DEBIT,12.99,7,Music subscription,music-8-5
ACC-CA-008,DEBIT,240.00,1,Savings transfer to SA_008,demo-savings-008-5
SA_008,CREDIT,240.00,1,Savings transfer from ACC-CA-008,demo-savings-008-5
ACC-CA-009,CREDIT,1965.00,181,Opening deposit,opening-ACC-CA-009
SA_009,CREDIT,4030.00,181,Opening savings deposit,opening-SA_009
ACC-CA-009,CREDIT,2505.00,178,Monthly salary - Atelier Demo,salary-9-0
